Sitename,Labcode,Longitude,Latitude,Yrs BP,STD
Achelouma NW,Hv9068,12.68,22.33,6960,120
Achelouma NW,Hv9067,12.68,22.33,7365,160
Achelouma NW,Hv9066,12.68,22.33,7710,315
Achelouma NW,Hv9065,12.68,22.33,8165,200
Achelouma NW,Hv11433,12.68,22.33,5300,155
Acusa,Gro1197,-15.68,28,1520,45
Acusa,Gro1188,-15.68,28,1380,60
Aderantarat,Pa0076,5.73,17.22,2280,80
Adrar Bous,UCLA1658,9.03,20.32,5760,500
Adrar Bous,T361,9.03,20.32,7310,120
Adrar Bous,Pa0836,9.03,20.32,4660,220
Adrar Bous,Pa0777,9.03,20.32,4690,110
Adrar Bous,Pa0745,9.03,20.32,3330,350
Adrar Bous,Pa0255,9.03,20.32,4520,110
Adrar Bous,Pa0254,9.03,20.32,4320,110
Adrar Bous,Pa0120,9.03,20.32,5360,200
Adrar Bous,N870,9.03,20.32,4910,135
Adrar Bous,HV13258,9.03,20.32,3615,75
Adrar Bous,Hv12249,9.03,20.32,4445,195
Adrar Bous,x242,9.03,20.32,4520,100
Adrar Bous 10,UW806,9.03,20.32,9130,65
Adrar Bous 10,UW-754,9.03,20.32,9030,190
Adrar Bous 10,Pa283,9.03,20.32,9100,150
Adrar Bous 85S1,241Orsay,9.03,20.3,6660,180
Adrar Bous 85S1,240Orsay,9.03,20.3,7320,130
Adrar Bous 85S1,239Orsay,9.03,20.3,8410,430
Adrar Bous 85S1,238Orsay,9.03,20.3,8960,120
Adrar Bous 85S1,237Orsay,9.03,20.3,9370,440
Adrar Bous 85S2,236Orsay,9.03,20.3,9770,280
Adrar Bous 85S3,235Orsay,9.03,20.3,9140,1360
Adrar Bous 85S4,234Orsay,9.03,20.3,8670,170
Adrar Bous 86S2,233Orsay,9.03,20.3,8300,900
Adrar Bous 86S2,232Orsay,9.03,20.3,9030,180
Adrar Bous 86S2,231Orsay,9.03,20.3,9450,300
Adrar Bous 86S2,230Orsay,9.03,20.3,10890,395
Adrar Bous 86S5,229Orsay,9.03,20.3,7650,980
Adrar Bous 87S5,228Orsay,9.03,20.3,7980,180
Adrar Bous coupe5,227Orsay,9.03,20.3,9480,130
Adrar Bous coupe5,226Orsay,9.03,20.3,4990,90
Adrar Bous dalles,225Orsay,9.03,20.3,8430,170
Adrar Bous dalles,224Orsay,9.03,20.3,6980,220
Adrar Bous dalles,223Orsay,9.03,20.3,8640,150
Adrar Bous depots,222Orsay,9.03,20.3,8275,120
Adrar Bous depots,221Orsay,9.03,20.3,8540,190
Adrar Bous depots,220Orsay,9.03,20.3,8595,210
Adrar Bous depots,219Orsay,9.03,20.3,8470,150
Adrar Bous foyers,218Orsay,9.03,20.3,4790,100
Adrar Bous foyers,217Orsay,9.03,20.3,5340,80
Adrar Bous gise10,216Orsay,9.03,20.3,8320,410
Adrar Bous Hidden valley,Pa0709,9.03,20.32,3880,130
Adrar Bous Hidden valley,Pa0704,9.03,20.32,4210,200
Adrar Bous Hidden valley,Pa0700,9.03,20.32,3915,200
Adrar Bous Hidden valley,Pa0686,9.03,20.32,4080,200
Adrar Bous Hidden valley,Pa0658,9.03,20.32,3950,250
Adrar Bous Hidden valley,N869,9.03,20.32,4440,120
Adrar Bous I,ParisVIa,8.98,20.3,6325,300
Adrar Bous III,Sa100,9.13,20.33,5130,300
Adrar Bous N5,Pa0720,8.87,20.32,4000,350
Adrar Bous N5,Pa0527,8.87,20.32,4260,250
Adrar Bous N6,Pa0921,9.12,20.67,2965,155
Adrar Bous N6,Pa0918,9.12,20.67,3600,260
Adrar Bous N7,215C,8.92,20.45,3340,150
Adrar Bous nord S10,Pa1046,8.98,20.8,4720,300
Adrar Bous paleorivage,214Orsay,9.03,20.3,6715,250
Adrar Bous paleosol,213Orsay,9.03,20.3,5450,220
Adrar Bous paleosol,212Orsay,9.03,20.3,9245,295
Adrar BousC1,Pa0718,8.87,20.28,4065,250
Adrar BousC2,Pa0536,8.82,20.3,3920,250
Adrar N Kiffi N1N3,Pa0751,9.03,20.32,3500,400
Adrar Nkiffi S1,Pa1112,9.03,20.32,4350,250
Adrar Nkiffi S1,Pa0753,9.03,20.32,6200,250
Adrar Nkiffi S1,Pa0330,9.03,20.32,6325,300
Adrar Nkiffi S1,Gif304,5.58,23.17,4720,300
Adrar Nkiffi S1,Gif1380,4.27,22.8,5320,130
Adrar Tiouyine,ALG44,4.27,22.8,5150,140
Afnuk,Gif5182,6.67,16.83,1460,80
Aftout Targue,Ly3248,-15.67,18.08,3400,100
Aftout Targue,Lv4244,-15.67,18.08,1440,70
Aftout Targue nord,Ly4393,-15.67,18.1,3290,70
Aftout Targue nord,Gif7093,-15.67,18.1,1740,60
Afunfun (TAG12),Pa1104,8.18,16.62,3660,90
Afunfun (TAG12),Pa1103,8.18,16.62,3710,80
Afunfun (TAG12),Pa1055,8.18,16.62,4140,200
Afunfun (TAG12),Pa1039,8.18,16.62,3760,160
Afunfun (TAG12),Pa0515,8.18,16.62,3860,150
Afunfun (TAG9),Pa0262,8.18,16.63,2400,100
Afunfun 1,Pta3964,8.12,16.5,3680,60
Afunfun 162,Mc2406,8.12,16.5,2740,90
Afunfun 162,Mc2405,8.12,16.5,2540,90
Afunfun 162,Mc2404,8.12,16.5,2800,90
Afunfun 162,Mc2403,8.12,16.5,2520,90
Afunfun 162,Mc2402,8.12,16.5,2520,90
Afunfun 162,Gif5541,8.12,16.5,2590,90
Afunfun 175,Mc2401,8.12,16.5,3800,90
Afunfun 175,Mc2400,8.12,16.5,3600,90
Afunfun 175,Mc2398,8.12,16.5,3920,90
Afunfun 175,Mc2379,8.12,16.5,4140,90
Afunfun 175,Gif5177,8.12,16.5,3510,100
Afunfun 175,Gif5176,8.12,16.5,3660,110
Afunfun 175,Gif5175,8.12,16.5,3680,100
Afunfun 175,Gif5174,8.12,16.5,3580,100
Afunfun 175,Gif5173,8.12,16.5,3100,70
Afunfun 175,Gif5172,8.12,16.5,3680,50
Afunfun 5,Pta3969,8.12,16.5,3480,50
Afunfun site 179,Gif5178,8.12,16.5,3030,100
Afyeh,UW30,32.33,22.5,4660,100
Afyeh,TF48,32.33,22.5,4290,120
Afyeh,TF47,32.33,22.5,4380,115
Agadem,T338b,13.32,16.88,9240,130
Agadem,T338a,13.32,16.88,8580,110
Agadem,Gif1395,13.32,16.88,5150,130
Agadem,Gif1394,13.32,16.88,3550,110
Agadem,Gif1393,13.32,16.88,4710,130
Agadir km45,Hv7066,-5.87,31.95,2060,55
Aghroum Balkorene,211Gif?,8.25,17.08,200,80
Agneitir littoral,120Alger,-16.13,19.7,3120,150
Agneitir littoral,119Alger,-16.13,19.7,3130,35
Agneitir littoral,118Alger,-16.13,19.7,3960,40
Agneitir littoral,117Alger,-16.13,19.7,4440,140
Agneitir septentrional,Gif8123,-16.13,19.7,5360,70
Agorgott,LGQ150,-4.02,22.65,7054,357
Agorgott,LGQ149,-4.02,22.65,7628,217
Agorgott,Gif7895,-4.02,22.65,7790,80
Agorgott,Gif7874,-4.02,22.65,5500,130
Agorgott,Gif6903,-4.02,22.65,4720,90
Agorgott,Gif6900,-4.02,22.65,5900,800
Agorgott,Gif6862,-4.02,22.65,6760,110
Agorgott,Gif6469,-4.02,22.65,6500,100
Agorgott,Gif6123,-4.02,22.65,6640,100
Agorgott,Gif6122,-4.02,22.65,3840,250
Agorgott,Gif3443,-4.02,22.65,5640,150
Agorgott,Gd5436,-4.02,22.65,9120,100
Ain Dalla,KN4218,27,26.78,8480,100
Ain Dalla,KN3968,27,26.78,8440,80
Ain Dalla,KN3836b,27,26.78,8470,75
Ain Dalla,KN3787,27,26.78,8450,80
Ain Dalla,KN3726,27,26.78,8620,80
Ain Dalla,KN3668b,27,26.78,8980,90
Ain Dalla,KN3556,27,26.78,8350,75
Ain Guettara,Mc279,3.1,28.03,5950,100
Ain Guettara,Gif1223,3.1,28.03,5935,140
Ain Misteheyia,TO12194,7.78,35.18,4890,80
Ain Misteheyia,Ptamc1225,7.78,35.18,5000,200
Ain Misteheyia,I9826,7.78,35.18,9130,150
Ain Misteheyia,I9825,7.78,35.18,9590,155
Ain Misteheyia,I9824,7.78,35.18,9805,160
Ain Misteheyia,I9786,7.78,35.18,9615,155
Ain Misteheyia,I9785,7.78,35.18,9430,150
Ain Misteheyia,I9784,7.78,35.18,8125,125
Ain Misteheyia,I9783,7.78,35.18,7990,125
Ain Misteheyia,I9782,7.78,35.18,7640,115
Ain Misteheyia,I9781,7.78,35.18,7725,120
Ain Misteheyia,I8278,7.78,35.18,8835,140
Ain Misteheyia,I7691,7.78,35.18,9280,135
Ain Misteheyia,I7690,7.78,35.18,7280,115
Ain Naga,Gif1221,3.48,34.35,7500,220
Ain Naga,ALG12,3.48,34.35,9300,300
Ain Touta,39Orsay,5.33,34.67,4830,120
Akhful,Gif3260,-14.42,26.23,4300,110
Akjouit,Dak141,-14.58,19.75,2144,100
Akjoujt,Gif1824,-14.58,19.75,2500,100
Akjoujt,Gif1823,-14.58,19.75,2700,100
Akjoujt,Gif1287,-14.58,19.75,2430,110
Akjoujt,Gif1286,-14.58,19.75,2360,110
Akjoujt,Gif1285,-14.58,19.75,2400,110
Akjoujt,Gif1284,-14.58,19.75,2350,110
Akjoujt,Dak29,-14.58,19.75,2522,123
Akjoujt,Dak25,-14.58,19.75,2775,126
Akjoujt,Dak142,-14.58,19.75,2327,100
Akjoujt grotte,Gif1825,-14.42,19.75,2460,100
Akjoujt grotte,Gif1822,-14.42,19.75,2460,100
Akreidil,Lv4240,-15.67,18.4,1460,120
Akreijit,Mc427,-9.4,18.43,3490,50
Akreijit,Gif6083,-9.4,18.43,2430,80
Akreijit,Gif3406,-9.4,18.43,3170,90
Akreijit,Gif3405,-9.4,18.43,5030,110
Akreijit,Dak52,-9.4,18.43,3776,120
Akreijit,Dak203,-9.4,18.43,3122,120
Akreijit,Dak190,-9.4,18.43,2760,120
Akreijit,Dak187,-9.4,18.43,2974,120
Akreijit,Dak185,-9.4,18.43,1663,113
Akreijit dunes,Gif4110,-9.4,18.43,2610,110
Akreijit Seyyid Ouinquil,I3365,-9.4,18.43,3100,105
Aktaouzou site178,Gif5179,8.15,16.58,2900,110
Al Khiday 1,Beta279538,32.49,15.41,7960,40
Al Khiday 1,Beta257255,32.49,15.41,7740,50
Al Khiday 1,Beta239622,32.49,15.41,7940,40
Al Khiday 1,Beta239621,32.49,15.41,7830,40
Al Khiday 1,Beta213892,32.49,15.41,7870,40
Al Khiday 1,Beta213891,32.49,15.41,7710,40
Al Khiday 1,Beta201728,32.49,15.41,7980,40
Al Khiday 2/2B,Beta279537,32.48,15.41,7640,110
Al Khiday 2/2B,Beta279536,32.48,15.41,7600,90
Al Khiday 2/2B,Beta279535,32.48,15.41,7530,100
Al Khiday 2/2B,Beta257258,32.48,15.41,7620,50
Al Khiday 2/2B,Beta257257,32.48,15.41,7540,50
Al Khiday 2/2B,Beta239620,32.48,15.41,7770,40
Al Khiday 2/2B,Beta239619,32.48,15.41,7760,90
Al Mahalab,T10949,32.64,15.6,6940,85
Al Mahalab,T10948,32.64,15.6,7470,60
Al Mahalab,T10946,32.64,15.6,7705,145
Am Naga,Gif1220,3.48,34.35,9170,200
Am Naga,ALG13,3.48,34.35,8900,280
Amekni,UW87,5.23,22.88,8050,80
Amekni,Mc212,5.23,22.88,8670,150
Amekni,Gif464,5.23,22.88,5500,250
Amekni,Gif1222,5.23,22.88,6800,220
Amguid,Ly3032,5.83,26.43,8370,200
Ammonite Hills,Hv13112,25.83,27.17,5600,120
Ammonite Hills,Hv13108,25.83,27.17,7660,125
Amtal,Gif3466,-13.48,23.08,1780,100
Amtal,Gif3265,-13.48,23.08,3300,100
Aneibis Area 1,T7480,34,17.93,7760,100
Aneibis Area 1,T6383,34,17.93,7290,100
Aneibis Area 1,T6382,34,17.93,7310,100
Aneibis Area 2,T8644,34,17.93,7950,100
Aneibis Area 2,T8643,34,17.93,8230,100
Aneibis Area 2,T7481,34,17.93,6820,100
Aneibis Area 2,T6384,34,17.93,7450,100
Aneibis Area 3,T7482,34,17.93,7910,100
Aneibis Area 4,T8648,34,17.93,8090,60
Aneibis Area 4,T8647,34,17.93,7830,100
Aneibis Area 4,T8646,34,17.93,7790,90
Aneibis Area 4,T8645,34,17.93,7660,50
Aneibis Area 4,T8642,34,17.93,7470,100
Aneibis Area 4,T8641,34,17.93,7890,100
Aneibis Area 4,T8636,34,17.93,7570,60
Aneibis Area 4,T7483,34,17.93,7780,100
Aneibis Area 4,T6385,34,17.93,7730,100
Anezrouft,Pa181,0.97,20.29,4320,100
Anezrouft,Pa172,0.97,20.29,3920,100
Angamma,T731,17.67,17.57,9260,140
Angamma,Hv3809,17.67,17.57,6010,110
Angamma,Hv3808,17.67,17.57,3225,115
Angamma,Hv3806,17.67,17.57,3200,485
Angamma,Hv3805,17.67,17.57,6115,105
