"PubOrder","SiteName","CRA","Error","LabID","Problems","Material","Reference","OccCRA","OccError"
299,"Lapa das Boleiras",12240,50,"Beta-168457","Uncertain cultural evidence",,,,
300,"Santana do Riacho (Abrigo Grande de Santana do Riacho)",12760,70,"Beta-96759","Uncertain cultural evidence",,"Neves et al., 2003",,
301,"MT-GU-1",12300,95,"SI-3477","Uncertain cultural evidence (see Milder 1994, 1995)",,"Miller, 1987",,
302,"Toca do Sitio do Meio",12200,600,"Gif-4628","Sigma too high",,"Guidon, 1986",,
303,"Lapa do Boquete",12000,500,"CDTN-2264","Sigma too high",,"Prous, 1986",,
304,"MT-GU-1",11600,115,"N-3055","Weak evidence of cultural association and stratigaphic provenience of the sample",,"Miller, 1987",,
305,"Brejo da Madre de Deus 3",11060,90,"SI-6298","Weak evidence of cultural association and stratigaphic provenience of the sample",,"Schmitz, 1987",,
306,"Cha do Caboclo (or Chao do Caboclo)",11250,250,"MC-1046","Weak evidence of cultural association and stratigaphic provenience of the sample",,"Laroche et al., 1977",,
307,"Lapa do Boquete",11000,1000,,"Sigma too high",,"Prous, 1986",,
308,"Lapa do Boquete",11440,475,"CDTN-3009","Sigma too high",,"Kipnis, 1998",,
309,"Lapa Mortuária",11990,50,"Beta-174680","Date to be confirmed",,"Neves and Hubbe, 2005",,
310,"Santana do Riacho (Abrigo Grande de Santana do Riacho)",11960,250,"Gif-5089","The associated cultural material may be intrusive",,"Prous, 1986;Prous and Fogaça, 1999",,
311,"Caverna da Pedra Pintada",11110,310,"GX-17406","Sigma too high",,"Roosevelt et al., 1996",,
312,"Lapa Vermelha IV",11680,500,"Gif-3726","Sigma too high",,"Prous, 1986",,
313,"RS-I-107",11010,190,"SI-9628","Weak evidence of cultural association and stratigaphic provenience of the sample",,"Miller, 1976, 1987",,
314,"RS-IJ-68: Garruchos",11555,230,"SI-3750","Weak evidence of cultural association and stratigaphic provenience of the sample",,"Miller, 1976, 1987",,
315,"MT-GU-1",10405,115,"SI-3476","No clear stratigraphy and material cultural association",,"Miller, 1987",,
316,"GO-JA-01",10740,90,,"No sample lab number",,"Kipnis, 1998",,
317,"GO-NI-08",10605,125,,"No sample lab number",,,,
318,"Toca do João Leite",10520,80,"Beta-219672","No clear stratigraphy and material cultural association",,"Guidon et al., 2009",,
319,"Toca do João Leite",10400,100,"Beta-223088","No clear stratigraphy and material cultural association",,"Guidon et al., 2009",,
320,"Lapa do Varal",10100,110,,"No sample lab number, no clear stratigraphy, and material cultural association",,,,
321,"Alice Boer",10970,1020,,"No clear stratigraphy and material cultural association",,"Beltrão et al., 1986",,
322,"Alice Boer",10950,1000,,"No clear stratigraphy and material cultural association",,"Beltrão et al., 1986",,
323,"Boqueirao da Pedra Furada",10540,350,"Beta-22859","Sigma too high",,"Parenti, 1996",,
324,"Capelinha",10500,1500,,"Sigma too high, no sample lab number",,"Collet, 1985",,
325,"RS-I-98: Saudade",10180,110,"SI-3752","No clear stratigraphy and material cultural association",,"Miller, 1976",,
326,"MT-GU-1",9775,70,"SI-3737","No clear stratigraphy and material cultural association",,"Miller, 1987",,
327,"MT-GU-1",9245,120,"SI-3739","No clear stratigraphy and material cultural association",,"Miller, 1987",,
328,"Mirador",9410,100,"CSIC-720","No clear stratigraphy and material cultural association",,,,
329,"Toca do Bojo",9700,120,"Gif-4624","No clear stratigraphy and material cultural association",,"Guidon et al., 2009",,
330,"Cha do Caboclo (or Chao do Caboclo)",9520,160,"MC-1056","No clear stratigraphy and material cultural association",,"Laroche et al., 1977",,
331,"Maximiano",9810,150,"Gif-7493","No clear stratigraphy and material cultural association",,"Neves et al., 2004a,b",,
332,"Lapa das Boleiras",9640,50,"Beta-178556","No information about stratigraphic provenience",,"Neves et al., 2004a,b",,
333,"Lapa das Boleiras",9650,60,"Beta-221458","No information about stratigraphic provenience",,"Neves et al., 2004a,b",,
334,"Lapa das Boleiras",9420,60,"Beta-221460","No information about stratigraphic provenience",,"Neves et al., 2004a,b",,
335,"Lapa das Boleiras",9060,60,"Beta-221457","No information about stratigraphic provenience",,"Neves et al., 2004a,b",,
336,"Lapa do Boquete",9870,485,"CDTN-3011","Sigma too high",,"Prous, 1986",,
337,"RS-TQ-58/Garivaldino",9430,360,"Beta-44739","Sigma too high",,"Miller, 1976",,
338,"RS-I-69/Laranjito",9620,110,"SI-2631","No clear stratigraphy and material cultural association",,"Miller, 1976",,
339,"RS-I-70/Imbaá I",9120,340,"SI-2632","Sigma too high",,"Miller, 1976",,
340,"RS-I-99: Ponta Leste 6",9035,100,"SI-3755","No clear stratigraphy and material cultural association",,"Miller, 1976",,
341,"RS-I-97: Carumbé",9605,120,"SI-3754","No clear stratigraphy and material cultural association",,"Miller, 1976",,
342,"MT-GU-1",8930,100,"SI-3736","No clear stratigraphy and material cultural association",,"Miller, 1987",,
343,"RO-PV-48",8320,10,"Beta-27015","No clear stratigraphy and material cultural association",,"Miller, 1987",,
344,"Brejo da Madre de Deus 3",8495,75,"SI-6296","No clear stratigraphy and material cultural association",,"Schmitz, 1987",,
345,"Cha do Caboclo",8100,135,"MC-1042","No clear stratigraphy and material cultural association",,"Laroche et al., 1977",,
346,"Pedra do Caboclo",8400,200,"MC-1003","No clear stratigraphy and material cultural association",,"Laroche et al., 1977",,
347,"Santana do Riacho (Abrigo Grande de Santana do Riacho)",8500,500,"CDTN-1001","Sigma too high",,"Kipnis, 1998",,
348,"Lapa do Sumidouro",8150,450,,"Sigma too high",,"Neves and Hubbe, 2005",,
349,"Abrigo do Malhador",8500,400,"UFMG-2564","Sigma too high",,"Kipnis, 2002",,
350,"Toca do Bojo",8080,170,"Gif-170","No clear stratigraphy and material cultural association",,"Guidon et al., 2009",,
351,"Toca da Roça do Dalton",8910,50,"Beta-236595","No clear stratigraphy and material cultural association",,"Guidon et al., 2009",,
352,"Lapa do Varal",8286,70,,"No lab reference",,,,
353,"Lapa da Chica",8760,60,"Beta-254271",,,,,
354,"Lapa do Santo",8880,50,"Beta-159247","Sample from the profile/no clear stratigraphic context",,"Strauss, 2010",,
355,"SC-U-6",8640,95,"SI-995","No clear stratigraphy and material cultural association",,"Dias and Jacobus, 2001",,
356,"SC-U-6",8095,90,"SI-994","No clear stratigraphy and material cultural association",,"Dias and Jacobus, 2001",,
357,"PR-NL-8",8115,80,"SI-6401","No clear stratigraphy and material cultural association",,"Dias and Jacobus, 2001",,
