"PubOrder","SiteName","CRA","Error","LabID","Problems","Material","Reference","OccCRA","OccError"
166,"RS-IJ-67/Pessegueiro",9595,175,"SI-2637",,"Charcoal","Dias and Jacobus, 2001;",,
167,"Gruta do Gavião",8140,130,,,"Charcoal","Magalhães, 2005",8140,130
169,"Gruta do Rato",8470,50,"Beta-110706",,"Charcoal","Magalhães, 2005",8470,50
170,"Gruta do Pequiá",8520,60,"Beta-110701",,"Charcoal","Magalhães, 2005",8520,60
171,"Gruta do Pequiá",8340,60,"Beta-110702",,"Charcoal","Magalhães, 2005",8340,60
172,"Gruta do Pequiá",8119,60,"Beta-110700",,"Charcoal","Magalhães, 2005",8119,60
173,"Gruta da Guarita",8260,50,"Beta-110703",,"Charcoal","Magalhães, 2005",8260,50
174,"NV-V",8850,40,"Beta-210858",,"Charcoal","Kipnis et al., 2005",8850,40
175,"NV-V",8680,40,"Beta-210857",,"Charcoal","Kipnis et al., 2005",8680,40
176,"N4-WS-017",8310,60,"Beta-215050",,"Charcoal","Kipnis et al., 2005",8310,60
177,"N4-WS-012",8240,90,"Beta-215053",,"Charcoal","Kipnis et al., 2005",8240,90
178,"N4-WS-005",8110,60,"Beta-215056",,"Charcoal","Kipnis et al., 2005",8085,46
179,"N4-WS-005",8050,70,"Beta-215057",,"Charcoal","Kipnis et al., 2005",,
180,"MT-SL-31",8390,80,"Beta-110550",,"Charcoal","Schmitz et al., 1996",8231,33
181,"MT-SL-31",8270,80,"Beta-110551",,"Charcoal","Schmitz et al., 1996",,
182,"MT-SL-31",8210,80,"Beta-110549",,"Charcoal","Schmitz et al., 1996",,
183,"MT-SL-31",8180,80,"Beta-91898",,"Charcoal","Schmitz et al., 1996",,
184,"MT-SL-31",8160,60,"Beta-91897",,"Charcoal","Schmitz et al., 1996",,
185,"Capivara 5",8980,70,"Beta-160594",,"Charcoal","Bueno, 2007",8980,70
186,"GO-JA-01",8915,115,"SI-3695",,"Charcoal","Schmitz, 1987",8806,58
187,"GO-JA-01",8805,100,"SI-3696",,"Charcoal","Schmitz, 1987",,
188,"GO-JA-01",8740,90,"N-2347",,"Charcoal","Schmitz, 1987",,
189,"GO-JA-26",8880,90,"SI-5563",,"Charcoal","Schmitz, 1987",8880,90
190,"Boqueirao da Pedra",8600,60,"Gif-8350",,,"Kipnis, 1998",8546,48
191,"Furada",8450,80,"Gif-6162",,,"Kipnis, 1998",,
192,"Furada",8170,80,"Gif-6436",,,"Kipnis, 1998",8130,62
193,"Furada",8080,120,"Gif-6157",,,"Kipnis, 1998",,
194,"Furada",8050,170,"Gif-4625",,,"Guidon, 1986",,
195,"Toca do Sitio do Meio",8960,70,"Beta-47493",,"Sherd","Melo, 2007",8868,46
196,"Toca do Sitio do Meio",8800,60,"Beta-47494",,,"Kipnis, 1998",,
197,"Toca da Baixa do Cipo",8700,90,"Gif-6957",,,"Kipnis, 1998",8700,90
198,"Toca da Ema do sítio do Brás",8820,70,"Beta-153987",,"Seeds of Mucuna sp.","Guidon et al., 2009",8820,70
200,"Toca da Ema do sítio do Brás",8190,60,"Beta-148100",,"Charcoal","Guidon et al., 2009",8177,46
201,"Toca da Ema do sítio do Brás",8160,70,"Beta-148102",,"Charcoal","Guidon et al., 2009",,
202,"Toca do vento",8500,60,"Beta-200147",,"Charcoal","Guidon et al., 2009",8500,60
203,"Toca do Bojo",8050,170,"Gif-4626",,,"Guidon, 1986",8050,170
204,"Toca da Baixa da",8800,60,"Beta-159040",,"Charcoal","Guidon et al., 2009",8735,42
205,"Cabaceira",8670,60,"Beta-158554",,"Charcoal","Guidon et al., 2009",,
206,"Toca do Paraguaio",8780,120,"MC-2511",,,"Guidon, 1981",8673,65
207,"Toca do Paraguaio",8670,120,"MC-2480",,,"Guidon, 1986",,
208,"Toca do Paraguaio",8600,100,"MC-2510",,,"Guidon, 1981",,
209,"Toca do Fundo do Baixão",8170,90,"Beta-154635",,"Charcoal","Guidon et al., 2009",8170,90
211,"Toca da Roça do Dalton",8670,60,"Beta-236594",,"Charcoal","Guidon et al., 2009",8670,60
212,"Justino",8950,70,"Beta-",,"Charcoal","Fagundes, 2007",8950,70
213,"Abrigo Pilão",8860,115,"SI-5565",,,"Bryan and Gruhn, 1993",8813,66
214,"Abrigo Pilão",8790,80,"Beta-10014",,,"Bryan and Gruhn, 1993",,
215,"Morro Furado (BA-RC-28)",8860,115,"SI-5565",,,"Schmitz et al., 1996",8860,115
216,"Lapa dos Bichos",8890,90,"Beta-89592",,"Charcoal","Kipnis, 1998",8890,90
217,"Lapa dos Bichos",8640,90,"Beta-100392",,"Charcoal","Kipnis, 1998",8640,90
218,"MG-VG-11_Boqueirão",8865,110,"SI-5509",,,"Dias, 1991",8865,110
220,"Lapa Pequena",8240,160,"Birm-868",,"Charcoal","Bryan and Gruhn, 1978",8240,160
221,"Cerca Grande 6",8240,40,"Beta-161668",,"Human Bone","Neves et al., 2004a,b",8240,40
222,"Cerca Grande 6",8230,50,"Beta-161666",,"Human Bone","Neves et al., 2004a,b",8230,50
223,"Lapa da Amoreira",8040,40,"Beta-205340",,"Human Bone","Neves and Hubbe, 2005",8040,40
224,"Lapa da Lagoa Funda",8520,40,"Beta-208077",,"Human Bone","Neves and Hubbe, 2005",8520,40
225,"Lapa das Boleiras",8820,150,"Beta-159242",,"Charcoal","Neves and Hubbe, 2005",8753,44
226,"Lapa das Boleiras",8750,150,"Beta-183563",,"Charcoal","Neves et al., 2004a,b",,
227,"Lapa das Boleiras",8730,110,"Beta-159245",,"Charcoal","Neves et al., 2004a,b",,
228,"Lapa das Boleiras",8420,100,"Beta-155658",,"Human Bone","Neves and Hubbe, 2005",8309,28
229,"Lapa das Boleiras",8360,50,"Beta-159244",,"Charcoal","Neves and Hubbe, 2005",,
230,"Lapa das Boleiras",8300,50,"Beta-155659",,"Human Bone","Neves and Hubbe, 2005",,
231,"Lapa das Boleiras",8240,50,"Beta-159232",,"Charcoal","Neves et al., 2004a,b",,
232,"Lapa do Baú 2",8830,50,"Beta-174735",,"Human Bone",,8830,50
233,"Lapa do Sumidouro",8960,50,"Beta-172187",,"Shell",,8960,50
234,"Lapa Mortuária",8810,50,"Beta-161658",,"Human Bone","Neves and Hubbe, 2005",8810,50
235,"Lapa Mortuária",8350,40,"Beta-161663",,"Human Bone","Neves and Hubbe, 2005",8320,28
236,"Lapa Mortuária",8290,40,"Beta-161662",,"Human Bone",,,
